Line - Token - Classification
189 - SubClassOf: - SUBCLASS
190 - CoreParticipant - CLASS_NAME
190 - , - COMMA
191 - externallyDependsOn - PROPRIETY
191 - some - SOME
191 - ConditionalClaim - CLASS_NAME
191 - , - COMMA
192 - externallyDependsOn - PROPRIETY
192 - some - SOME
192 - OffereeUnconditionalAgreement - CLASS_NAME
192 - , - COMMA
193 - participatedIn - PROPRIETY
193 - some - SOME
193 - Offer - CLASS_NAME
193 - , - COMMA
194 - creates - PROPRIETY
194 - some - SOME
194 - DataUsagePolicy - CLASS_NAME
194 - , - COMMA
195 - owns - PROPRIETY
195 - some - SOME
195 - Data - CLASS_NAME
195 - , - COMMA
196 - responds - PROPRIETY
196 - some - SOME
196 - DataOperation - CLASS_NAME
196 - , - COMMA
197 - inheresIn - PROPRIETY
197 - some - SOME
197 - ConditionalCommitment - CLASS_NAME
197 - , - COMMA
198 - inheresIn - PROPRIETY
198 - some - SOME
198 - OfferorUnconditionalAgreement - CLASS_NAME
198 - , - COMMA
199 - mediates - PROPRIETY
199 - some - SOME
199 - DataSovereigntyAct - CLASS_NAME
199 - , - COMMA
200 - mediates - PROPRIETY
200 - some - SOME
200 - EconomicOffering - CLASS_NAME
200 - , - COMMA
201 - mediates - PROPRIETY
201 - some - SOME
201 - MetadataAssignment - CLASS_NAME
201 - , - COMMA
202 - mediates - PROPRIETY
202 - some - SOME
202 - Ownership - CLASS_NAME
204 - DisjointWith: - DISJOINT
205 - DataCustomer - CLASS_NAME
208 - Class: - CLASS
208 - DataUsagePolicy - CLASS_NAME
211 - SubClassOf: - SUBCLASS
212 - Resource - CLASS_NAME
212 - , - COMMA
213 - mediates - PROPRIETY
213 - some - SOME
213 - DataSovereigntyAct - CLASS_NAME
213 - , - COMMA
214 - mediates - PROPRIETY
214 - some - SOME
214 - InvokeDataOperation - CLASS_NAME
217 - Class: - CLASS
217 - DigitalAsset - CLASS_NAME
220 - SubClassOf: - SUBCLASS
221 - Resource - CLASS_NAME
221 - , - COMMA
222 - ( - LPAR
222 - composedBy - PROPRIETY
222 - exactly - QUANTIFIER
222 - 1 - NUMBER
222 - Data - CLASS_NAME
222 - ) - RPAR
222 - and - LOGICAL
222 - ( - LPAR
222 - composedBy - PROPRIETY
222 - exactly - QUANTIFIER
222 - 1 - NUMBER
222 - DataUsagePolicy - CLASS_NAME
222 - ) - RPAR
222 - , - COMMA
223 - historicallyDependsOn - PROPRIETY
223 - some - SOME
223 - OfferorUnconditionalAgreement - CLASS_NAME
226 - Class: - CLASS
226 - EconomicAgreement - CLASS_NAME
229 - EquivalentTo: - EQUIVALENT
230 - Relator - CLASS_NAME
231 - and - LOGICAL
231 - ( - LPAR
231 - ( - LPAR
231 - composedBy - PROPRIETY
231 - some - SOME
231 - OffereeUnconditionalAgreement - CLASS_NAME
231 - ) - RPAR
232 - and - LOGICAL
232 - ( - LPAR
232 - composedBy - PROPRIETY
232 - some - SOME
232 - OfferorUnconditionalAgreement - CLASS_NAME
232 - ) - RPAR
232 - ) - RPAR
233 - and - LOGICAL
233 - ( - LPAR
233 - historicallyDependsOn - PROPRIETY
233 - only - ONLY
233 - EconomicOffering - CLASS_NAME
233 - ) - RPAR
234 - and - LOGICAL
234 - ( - LPAR
234 - composedBy - PROPRIETY
234 - only - ONLY
234 - ( - LPAR
234 - OffereeUnconditionalAgreement - CLASS_NAME
234 - or - LOGICAL
234 - OfferorUnconditionalAgreement - CLASS_NAME
234 - ) - RPAR
234 - ) - RPAR
235 - and - LOGICAL
235 - ( - LPAR
235 - historicallyDependsOn - PROPRIETY
235 - min - QUANTIFIER
235 - 1 - NUMBER
235 - EconomicOffering - CLASS_NAME
235 - ) - RPAR
238 - Class: - CLASS
238 - EconomicOffering - CLASS_NAME
241 - EquivalentTo: - EQUIVALENT
242 - Relator - CLASS_NAME
243 - and - LOGICAL
243 - ( - LPAR
243 - ( - LPAR
243 - composedBy - PROPRIETY
243 - some - SOME
243 - ConditionalClaim - CLASS_NAME
243 - ) - RPAR
244 - and - LOGICAL
244 - ( - LPAR
244 - composedBy - PROPRIETY
244 - some - SOME
244 - ConditionalCommitment - CLASS_NAME
244 - ) - RPAR
244 - ) - RPAR
245 - and - LOGICAL
245 - ( - LPAR
245 - mediates - PROPRIETY
245 - only - ONLY
245 - ( - LPAR
245 - DataCustomer - CLASS_NAME
245 - or - LOGICAL
245 - DataSupplier - CLASS_NAME
245 - ) - RPAR
245 - ) - RPAR
246 - and - LOGICAL
246 - ( - LPAR
246 - wasCreatedIn - PROPRIETY
246 - only - ONLY
246 - Offer - CLASS_NAME
246 - ) - RPAR
247 - and - LOGICAL
247 - ( - LPAR
247 - composedBy - PROPRIETY
247 - only - ONLY
247 - ( - LPAR
247 - ConditionalClaim - CLASS_NAME
247 - or - LOGICAL
247 - ConditionalCommitment - CLASS_NAME
247 - ) - RPAR
247 - ) - RPAR
248 - and - LOGICAL
248 - ( - LPAR
248 - mediates - PROPRIETY
248 - min - QUANTIFIER
248 - 1 - NUMBER
248 - DataCustomer - CLASS_NAME
248 - ) - RPAR
249 - and - LOGICAL
249 - ( - LPAR
249 - mediates - PROPRIETY
249 - min - QUANTIFIER
249 - 1 - NUMBER
249 - DataSupplier - CLASS_NAME
249 - ) - RPAR
250 - and - LOGICAL
250 - ( - LPAR
250 - wasCreatedIn - PROPRIETY
250 - exactly - QUANTIFIER
250 - 1 - NUMBER
250 - Offer - CLASS_NAME
250 - ) - RPAR
253 - Class: - CLASS
253 - Evaluated - CLASS_NAME
255 - EquivalentTo: - EQUIVALENT
256 - BrokerServiceProvider - CLASS_NAME
256 - or - LOGICAL
256 - Connector - CLASS_NAME
256 - or - LOGICAL
256 - CoreParticipant - CLASS_NAME
258 - SubClassOf: - SUBCLASS
